Participant,Worker,Overall,RecommendHiring,Colleague,Engaged,Excited,EyeContact,Smiled,SpeakingRate,NoFillers,Friendly,Paused,EngagingTone,StructuredAnswers,Calm,NotStressed,Focused,Authentic,NotAwkward,Total
p4,A1OLRUT93TXWEP,4.0,3.0,4.0,5.0,4.0,0.0,5.0,4.0,5.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,4.0,4.0,79.0
p4,A1ZQ7A1CUV6RD8,4.0,4.0,3.0,5.0,2.0,3.0,1.0,5.25,2.0,1.0,7.0,2.0,5.0,7.0,7.0,5.0,6.0,4.0,73.25
p4,A2F7D8EOTB663,6.0,6.0,6.0,7.0,6.0,5.0,4.0,7.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,7.0,6.0,5.0,105.0
p4,A323WW03VM8089,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.5,3.0,6.0,4.0,5.0,3.0,4.0,3.0,6.0,7.0,4.0,79.5
p4,A34M93NJC830DP,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,80.0
p4,ABM77ZQWCHPNX,3.0,3.0,4.0,4.0,4.0,7.0,4.0,5.25,1.0,7.0,3.0,4.0,4.0,7.0,7.0,3.0,7.0,7.0,84.25
p4,ANUXUJE8QRE0C,5.0,5.0,6.0,6.0,4.0,5.0,6.0,7.0,2.0,7.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,98.0
p4,ARX0S1CIDJLOX,5.0,5.0,4.0,6.0,5.0,6.0,6.0,7.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,6.0,6.0,4.0,85.0
p4,AGGR,4.49449445111,4.5301287215,4.5007070313,5.49449445111,4.26134323401,3.8578483967,4.85215010808,4.73800014854,3.11144466161,5.36988386167,5.17744701629,4.39273648876,4.68837924196,5.06519019504,5.56608366997,5.3241358317,5.65836395517,4.45290867925,85.5357401438
p5,A1ITBXITLY2952,5.0,6.0,6.0,6.0,4.0,7.0,4.0,4.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,98.0
p5,A1OLRUT93TXWEP,6.0,6.0,6.0,5.0,5.0,7.0,5.0,4.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,6.0,108.0
p5,A1ZQ7A1CUV6RD8,5.0,6.0,5.0,7.0,6.0,6.0,4.0,7.0,5.0,6.0,7.0,5.0,5.0,7.0,7.0,7.0,6.0,7.0,108.0
p5,A2F7D8EOTB663,5.0,4.0,5.0,6.0,4.0,6.0,2.0,4.0,6.0,5.0,7.0,3.0,6.0,6.0,5.0,7.0,5.0,4.0,90.0
p5,A323WW03VM8089,4.0,4.0,5.0,4.0,3.0,5.0,3.0,7.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,6.0,6.0,3.0,74.0
p5,A34M93NJC830DP,6.0,6.0,6.0,6.0,5.0,7.0,4.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,100.0
p5,ABM77ZQWCHPNX,5.0,5.0,5.0,6.0,5.0,7.0,6.0,7.0,7.0,6.0,2.0,5.0,5.0,7.0,7.0,6.0,7.0,7.0,105.0
p5,ANUXUJE8QRE0C,6.0,6.0,6.0,7.0,5.0,7.0,5.0,7.0,7.0,7.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,113.0
p5,ARX0S1CIDJLOX,6.0,6.0,7.0,7.0,6.0,7.0,2.0,6.0,6.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,6.0,7.0,111.0
p5,AGGR,5.45767015187,5.57155799998,5.77248834334,5.90305686235,4.70706218787,6.69427598309,3.92047947352,4.92718068841,5.88174118567,5.64911869128,5.88632626708,4.69552295169,5.58251442294,6.13048798847,5.91637261685,6.32208591415,6.02006993043,5.62983798866,100.667849648
p6,A1ITBXITLY2952,5.0,6.0,6.0,6.0,4.0,5.0,6.0,4.0,3.0,5.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,97.0
p6,A1OLRUT93TXWEP,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,70.0
p6,A1ZQ7A1CUV6RD8,5.0,5.0,6.0,6.0,3.0,4.0,3.0,5.25,3.0,3.0,6.0,2.0,1.0,7.0,7.0,5.0,6.0,7.0,84.25
p6,A2F7D8EOTB663,6.0,6.0,6.0,6.0,7.0,4.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,101.0
p6,A323WW03VM8089,3.0,3.0,2.0,5.0,4.0,4.0,3.0,7.0,2.0,2.0,3.0,4.0,4.0,6.0,6.0,5.0,6.0,4.0,73.0
p6,A34M93NJC830DP,6.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,6.0,6.0,5.0,5.0,5.0,89.0
p6,ABM77ZQWCHPNX,4.0,4.0,4.0,4.0,4.0,3.0,4.0,7.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,84.0
p6,ANUXUJE8QRE0C,6.0,6.0,7.0,6.0,5.0,4.0,4.0,3.5,4.0,6.0,2.0,4.0,7.0,6.0,6.0,7.0,7.0,7.0,97.5
p6,ARX0S1CIDJLOX,6.0,5.0,5.0,5.0,5.0,6.0,2.0,3.0,3.0,5.0,7.0,5.0,5.0,6.0,6.0,5.0,4.0,7.0,90.0
p6,AGGR,5.10651231715,4.8314817722,4.86059472128,5.02038454713,4.64825935206,4.33180466888,4.19422667458,4.17489068485,3.92032941437,4.49537499283,5.02782250409,4.26198846721,4.82624462496,5.8289772252,5.82438987265,5.61942047508,5.3718582209,5.29597734086,87.6405378763
p7,A1ITBXITLY2952,6.0,5.0,5.0,6.0,4.0,7.0,4.0,4.0,7.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,99.0
p7,A1OLRUT93TXWEP,6.0,5.0,6.0,6.0,5.0,6.0,7.0,5.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,6.0,7.0,3.0,101.0
p7,A1ZQ7A1CUV6RD8,7.0,6.0,2.0,7.0,6.0,7.0,4.0,7.0,6.0,3.0,6.0,3.0,7.0,7.0,7.0,7.0,4.0,7.0,103.0
p7,A2F7D8EOTB663,6.0,6.0,6.0,7.0,5.0,7.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,112.0
p7,A323WW03VM8089,4.0,4.0,5.0,3.0,6.0,4.0,4.0,5.25,4.0,5.0,4.0,5.0,4.0,4.0,3.0,6.0,7.0,4.0,81.25
p7,A34M93NJC830DP,6.0,6.0,5.0,6.0,5.0,7.0,3.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,98.0
p7,ABM77ZQWCHPNX,4.0,4.0,4.0,4.0,4.0,7.0,4.0,5.25,3.0,4.0,7.0,4.0,4.0,7.0,7.0,4.0,7.0,7.0,90.25
p7,ANUXUJE8QRE0C,6.0,7.0,7.0,7.0,5.0,7.0,6.0,7.0,6.0,7.0,5.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,116.0
p7,ARX0S1CIDJLOX,6.0,6.0,5.0,7.0,5.0,7.0,7.0,5.0,7.0,6.0,7.0,6.0,5.0,6.0,6.0,7.0,6.0,5.0,109.0
p7,AGGR,5.79930374281,5.47346734645,5.20417664166,5.99873409383,4.88604973191,6.63154497837,4.79259662662,4.91447854325,5.92916127869,5.50456862011,6.04631607177,4.94138360782,5.57242669885,6.00791295588,5.73631808747,6.19747572924,6.26003506778,5.27204704397,101.167996866
p8,A1ITBXITLY2952,5.0,5.0,5.0,6.0,4.0,6.0,5.0,3.0,1.0,5.0,6.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,88.0
p8,A1OLRUT93TXWEP,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,6.0,4.0,6.0,6.0,5.0,93.0
p8,A1ZQ7A1CUV6RD8,5.0,5.0,3.0,6.0,3.0,6.0,2.0,7.0,2.0,4.0,7.0,3.0,1.0,7.0,7.0,7.0,6.0,5.0,86.0
p8,A2F7D8EOTB663,6.0,5.0,6.0,7.0,4.0,7.0,1.0,4.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,96.0
p8,A323WW03VM8089,3.0,3.0,3.0,3.0,3.0,2.0,3.0,5.25,2.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,2.0,57.25
p8,A34M93NJC830DP,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,6.0,4.0,5.0,6.0,5.0,5.0,6.0,5.0,84.0
p8,ABM77ZQWCHPNX,3.0,3.0,4.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,2.0,7.0,4.0,3.0,3.0,7.0,7.0,4.0,90.0
p8,ANUXUJE8QRE0C,5.0,5.0,6.0,6.0,4.0,6.0,3.0,5.25,1.0,7.0,5.0,3.0,5.0,6.0,6.0,7.0,7.0,6.0,93.25
p8,ARX0S1CIDJLOX,5.0,5.0,5.0,6.0,4.0,5.0,2.0,3.0,2.0,5.0,7.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,83.0
p8,AGGR,4.82408236307,4.74289539148,4.67844344661,5.6053236562,4.23397310045,5.42917193311,3.57292754361,4.45332435259,2.64427783107,4.99635315525,5.50466433262,4.15706890643,4.57497972608,5.66272840945,5.05170676861,5.8237382037,5.89634322184,5.10466133283,86.956663675
p10,A1ITBXITLY2952,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,4.0,85.0
p10,A1OLRUT93TXWEP,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,4.0,4.0,3.0,5.0,6.0,4.0,84.0
p10,A1ZQ7A1CUV6RD8,6.0,7.0,3.0,6.0,3.0,6.0,6.0,5.25,2.0,6.0,7.0,6.0,2.0,3.0,7.0,6.0,5.0,6.0,92.25
p10,A2F7D8EOTB663,4.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,6.0,6.0,5.0,2.0,6.0,6.0,5.0,6.0,4.0,82.0
p10,A323WW03VM8089,4.0,4.0,5.0,5.0,7.0,3.0,4.0,7.0,3.0,5.0,3.0,6.0,3.0,4.0,2.0,5.0,7.0,3.0,80.0
p10,A34M93NJC830DP,5.0,4.0,4.0,5.0,6.0,5.0,3.0,4.0,3.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,84.0
p10,ABM77ZQWCHPNX,5.0,5.0,5.0,5.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,5.0,1.0,1.0,6.0,7.0,1.0,91.0
p10,ANUXUJE8QRE0C,6.0,6.0,6.0,6.0,6.0,4.0,7.0,7.0,2.0,7.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,110.0
p10,ARX0S1CIDJLOX,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,6.0,2.0,1.0,2.0,2.0,5.0,4.0,2.0,51.0
p10,AGGR,4.7251152548,4.45935470754,4.6078812389,4.81274056326,4.38394688919,4.66602530782,4.8790084281,4.77536873711,2.77818282683,5.74780274004,5.61490949295,4.81910736874,3.57596013125,4.44518500869,4.54291134293,5.26788560368,5.82388881232,4.14021962814,84.0654940823
p11,A1ITBXITLY2952,6.0,6.0,6.0,6.0,5.0,4.0,5.0,4.0,2.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,93.0
p11,A1OLRUT93TXWEP,6.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,7.0,4.0,6.0,5.0,4.0,7.0,7.0,5.0,95.0
p11,A1ZQ7A1CUV6RD8,5.0,5.0,4.0,5.0,2.0,6.0,4.0,7.0,1.0,2.0,6.0,3.0,2.0,6.0,6.0,7.0,5.0,4.0,80.0
p11,A2F7D8EOTB663,5.0,3.0,4.0,6.0,4.0,3.0,5.0,5.0,3.0,5.0,6.0,6.0,3.0,6.0,6.0,7.0,5.0,6.0,88.0
p11,A323WW03VM8089,4.0,4.0,4.0,4.0,5.0,2.0,3.0,7.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,72.0
p11,A34M93NJC830DP,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,6.0,3.0,73.0
p11,ABM77ZQWCHPNX,4.0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,2.0,4.0,7.0,4.0,6.0,6.0,6.0,6.0,7.0,4.0,85.0
p11,ANUXUJE8QRE0C,6.0,6.0,6.0,7.0,5.0,5.0,6.0,7.0,3.0,7.0,5.0,7.0,6.0,6.0,6.0,7.0,7.0,6.0,108.0
p11,ARX0S1CIDJLOX,4.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,5.0,3.0,6.0,2.0,6.0,3.0,4.0,3.0,4.0,3.0,67.0
p11,AGGR,5.01043000317,4.5328038921,4.83720040987,4.95785369798,4.29776047319,3.62930217992,4.41268289935,4.89546144859,3.24042620255,4.4623063693,5.81959031851,4.42675262945,4.81446592015,5.0290858603,4.76349535235,5.71777581176,5.91858727172,4.44721087134,85.2131916116
p12,A1ITBXITLY2952,5.0,5.0,5.0,5.0,6.0,6.0,7.0,4.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,5.0,98.0
p12,A1OLRUT93TXWEP,5.0,4.0,5.0,6.0,6.0,5.0,7.0,5.0,6.0,7.0,6.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,96.0
p12,A1ZQ7A1CUV6RD8,6.0,7.0,7.0,7.0,6.0,6.0,7.0,5.25,3.0,7.0,7.0,6.0,2.0,7.0,6.0,7.0,7.0,2.0,105.25
p12,A2F7D8EOTB663,6.0,6.0,6.0,6.0,5.0,7.0,6.0,5.0,6.0,6.0,7.0,7.0,5.0,6.0,7.0,7.0,6.0,7.0,111.0
p12,A323WW03VM8089,4.0,4.0,6.0,4.0,4.0,5.0,5.0,7.0,4.0,6.0,4.0,5.0,3.0,5.0,4.0,5.0,7.0,4.0,86.0
p12,A34M93NJC830DP,4.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,82.0
p12,ABM77ZQWCHPNX,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,7.0,7.0,5.0,6.0,7.0,113.0
p12,ANUXUJE8QRE0C,6.0,6.0,6.0,7.0,6.0,3.0,7.0,7.0,4.0,7.0,2.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,107.0
p12,ARX0S1CIDJLOX,5.0,5.0,6.0,4.0,3.0,3.0,7.0,5.0,6.0,6.0,7.0,4.0,4.0,6.0,6.0,5.0,6.0,3.0,91.0
p12,AGGR,5.0385258973,4.92522086241,5.30169891313,5.4703111305,5.32252595511,5.29124911726,6.54533667781,5.24607811749,4.96411231054,6.36301290995,5.40596577758,5.4523864256,4.3189479661,5.20262948752,5.54080929135,5.46458442867,5.99189398648,4.74835103837,96.5936402932
p13,A1ITBXITLY2952,3.0,3.0,4.0,4.0,2.0,5.0,5.0,3.0,3.0,3.0,6.0,2.0,5.0,5.0,6.0,6.0,6.0,3.0,74.0
p13,A1OLRUT93TXWEP,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,6.0,5.0,6.0,6.0,5.0,7.0,7.0,5.0,96.0
p13,A1ZQ7A1CUV6RD8,5.0,5.0,4.0,6.0,1.0,6.0,1.0,7.0,3.0,1.0,7.0,1.0,3.0,7.0,5.0,6.0,4.0,3.0,75.0
p13,A2F7D8EOTB663,5.0,5.0,6.0,6.0,4.0,7.0,2.0,3.0,5.0,4.0,7.0,3.0,5.0,6.0,7.0,7.0,6.0,6.0,94.0
p13,A323WW03VM8089,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.25,3.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,2.0,59.25
p13,A34M93NJC830DP,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,4.0,79.0
p13,ABM77ZQWCHPNX,4.0,4.0,4.0,4.0,3.0,5.0,5.0,7.0,2.0,5.0,5.0,3.0,5.0,6.0,6.0,4.0,5.0,5.0,82.0
p13,ANUXUJE8QRE0C,5.0,5.0,5.0,3.0,2.0,4.0,4.0,3.5,4.0,7.0,6.0,1.0,4.0,5.0,5.0,6.0,6.0,3.0,78.5
p13,ARX0S1CIDJLOX,5.0,6.0,6.0,7.0,4.0,4.0,5.0,2.0,5.0,5.0,7.0,2.0,5.0,6.0,5.0,7.0,7.0,3.0,91.0
p13,AGGR,4.2512513498,4.3255215907,4.28864035171,4.59815000376,3.57951004715,4.80335243422,4.38653575142,3.96199384358,3.76952499607,4.12027395488,5.84735266153,2.96796737501,4.91606339181,5.46967945239,5.33775389157,5.75925215917,5.9363674084,3.95360112807,82.2727917912
p14,A1ITBXITLY2952,6.0,6.0,6.0,6.0,4.0,5.0,7.0,4.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,105.0
p14,A1OLRUT93TXWEP,6.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,112.0
p14,A1ZQ7A1CUV6RD8,6.0,6.0,6.0,7.0,6.0,6.0,1.0,7.0,1.0,6.0,7.0,6.0,2.0,7.0,7.0,7.0,6.0,7.0,101.0
p14,A2F7D8EOTB663,7.0,6.0,6.0,7.0,5.0,7.0,7.0,4.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,5.0,7.0,114.0
p14,A323WW03VM8089,5.0,6.0,7.0,6.0,6.0,5.0,4.0,7.0,4.0,6.0,4.0,5.0,4.0,6.0,5.0,6.0,7.0,6.0,99.0
p14,A34M93NJC830DP,6.0,6.0,5.0,6.0,5.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,102.0
p14,ABM77ZQWCHPNX,2.0,2.0,4.0,4.0,4.0,2.0,7.0,7.0,1.0,4.0,7.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,63.0
p14,ANUXUJE8QRE0C,6.0,6.0,6.0,7.0,6.0,4.0,5.0,5.25,4.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,109.25
p14,ARX0S1CIDJLOX,6.0,6.0,7.0,5.0,6.0,5.0,7.0,4.0,4.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,102.0
p14,AGGR,5.80135366035,5.92049301639,5.81055961119,6.04893524744,5.20461943897,5.40361052078,5.76886166769,4.81782795291,4.68969108759,6.31536811668,6.37215246813,6.05344206945,5.67303503772,5.93629021098,5.96548614449,5.82638569969,5.89940186487,5.970077654,103.477591469
p15,A1ITBXITLY2952,4.0,4.0,4.0,5.0,3.0,5.0,6.0,4.0,1.0,5.0,6.0,4.0,4.0,5.0,6.0,6.0,5.0,3.0,80.0
p15,A1OLRUT93TXWEP,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0,6.0,6.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,79.0
p15,A1ZQ7A1CUV6RD8,6.0,6.0,4.0,7.0,6.0,4.0,2.0,7.0,1.0,3.0,7.0,3.0,6.0,7.0,5.0,6.0,6.0,6.0,92.0
p15,A2F7D8EOTB663,5.0,4.0,6.0,7.0,5.0,5.0,7.0,5.0,1.0,6.0,4.0,5.0,3.0,6.0,7.0,6.0,6.0,5.0,93.0
p15,A323WW03VM8089,3.0,3.0,2.0,4.0,5.0,2.0,4.0,7.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,2.0,67.0
p15,A34M93NJC830DP,5.0,4.0,4.0,5.0,5.0,3.0,2.0,4.0,2.0,4.0,6.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,75.0
p15,ABM77ZQWCHPNX,3.0,3.0,4.0,5.0,5.0,1.0,6.0,7.0,1.0,6.0,2.0,4.0,2.0,5.0,5.0,2.0,5.0,3.0,69.0
p15,ANUXUJE8QRE0C,6.0,6.0,6.0,6.0,5.0,1.0,6.0,7.0,1.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,94.0
p15,ARX0S1CIDJLOX,4.0,4.0,4.0,6.0,5.0,3.0,7.0,4.0,2.0,6.0,7.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,80.0
p15,AGGR,4.62531884309,3.96372317208,4.25032022025,5.42906829565,4.53809348758,3.46833614241,4.84185964133,4.89546144859,1.41211232111,5.17953168224,5.44907410303,4.37898259772,3.90089704833,4.8159409313,5.07041698156,5.16895392285,5.24781567325,3.86085352885,80.4967600412
p16,A1ITBXITLY2952,5.0,5.0,6.0,6.0,5.0,7.0,7.0,4.0,4.0,7.0,7.0,6.0,5.0,6.0,7.0,6.0,6.0,6.0,105.0
p16,A1OLRUT93TXWEP,6.0,6.0,6.0,7.0,7.0,5.0,6.0,5.0,5.0,7.0,7.0,6.0,7.0,5.0,5.0,7.0,7.0,6.0,110.0
p16,A1ZQ7A1CUV6RD8,5.0,6.0,6.0,7.0,6.0,6.0,7.0,5.25,2.0,7.0,7.0,6.0,2.0,7.0,7.0,7.0,7.0,7.0,107.25
p16,A2F7D8EOTB663,5.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,1.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,103.0
p16,A323WW03VM8089,5.0,6.0,6.0,6.0,6.0,5.0,4.0,7.0,3.0,6.0,4.0,4.0,3.0,5.0,4.0,6.0,7.0,4.0,91.0
p16,A34M93NJC830DP,5.0,5.0,4.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,6.0,6.0,5.0,6.0,5.0,89.0
p16,ABM77ZQWCHPNX,4.0,4.0,4.0,2.0,5.0,7.0,6.0,5.25,2.0,6.0,6.0,6.0,5.0,3.0,3.0,5.0,5.0,5.0,83.25
p16,ANUXUJE8QRE0C,6.0,6.0,7.0,7.0,6.0,5.0,7.0,5.25,2.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,112.25
p16,ARX0S1CIDJLOX,5.0,4.0,4.0,7.0,6.0,6.0,7.0,4.0,4.0,6.0,7.0,5.0,4.0,5.0,4.0,6.0,6.0,4.0,94.0
p16,AGGR,5.18199437371,5.34720093792,5.39074010003,6.24257893055,6.04992879697,5.92605915325,6.15854457271,4.72690066827,3.57175105762,6.26966089966,5.72615532378,5.34030486026,4.62732782069,5.63384831499,5.66763160105,6.14987631041,6.30464993684,5.58230677681,99.8974604355
p17,A1ITBXITLY2952,3.0,2.0,4.0,4.0,3.0,6.0,6.0,4.0,3.0,7.0,6.0,5.0,3.0,3.0,5.0,6.0,6.0,3.0,79.0
p17,A1OLRUT93TXWEP,5.0,4.0,6.0,5.0,3.0,4.0,5.0,4.0,5.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,7.0,5.0,92.0
